source,title,company,location,contract_type,sector,experience,education,salary,description,skills_raw,url,posted_date,scraped_at
rekrute,Technicien en systèmes d'information | Rabat (Maroc),N/A (confidentiel),1 poste(s) - Maroc,CDI,Informatique / Electronique - Télécom / Réseaux - Secteur Informatique								- Autres services,Intermédiaire (3 à 5 ans),Bac +2 Minimum - BTS / DUT - Formation professionnelle,N/A,"Entreprise : La SOCIETE DE DEVELOPPEMENT DES SERVICES PUBLICS DE DISTRIBUTION S.A. est une société de Développement Local, qui a pour missions de participer à la gestion et au développement des Services Publics de distribution, et cela à travers notamment, les prestations : D’accompagnement dans le domaine financier et de l'ingénierie financière, et dans la mobilisation et la gestion des financements ; De suivi et d'évaluation de la gestion et des indicateurs de performance inhérents aux Services Publics ; De gestion des dettes de financement liées à l’activité de distribution ; D’harmonisation des règles communes et process concernant la gestion des Services Publics. Notre société accompagne les acteurs du secteur de la distribution d’électricité, d’eau potable et d’assainissement liquide, notamment les GCT (Groupements de Collectivités Territoriales) et les SRM (les sociétés Régionales Multiservices) nouvellement mises en place. | Poste : nous recherchons un profil de Technicien en Système d'Information qui permettra de contribuer à la réalisation des contrôles techniques, au suivi des investissements et à la surveillance opérationnelle des données et performances du service public délégué, à travers la collecte, la vérification et la préparation des éléments nécessaires à l’analyse et au contrôle prévus par les contrats de gestion déléguée. Les missions principales : Gérer et maintenir l'infrastructure systèmes et réseaux : Installer, configurer et assurer la maintenance des équipements matériels et logiciels : serveurs, postes de travail, routeurs, switchs, imprimantes, etc. Mettre en place et administrer les systèmes d’exploitation (Windows, Linux, etc.) et les solutions logicielles (Active Directory, Antivirus, etc.). Assurer la gestion des sauvegardes et la récupération des données en cas de panne. Assurer le suivi des machines virtuelles, vérifier leur état de fonctionnement et leur performance (utilisation CPU, mémoire, stockage). Assurer la maintenance et la réparation des postes de travail, incluant le diagnostic des pannes, le remplacement de composants matériels tels que disques durs, barrettes de RAM, cartes graphiques, et autres éléments défectueux. Assurer le support technique et l'assistance aux utilisateurs : Fournir un support technique aux utilisateurs, résoudre leurs problèmes informatiques (matériels, systèmes, réseaux). Gérer les demandes d’assistance et assurer un suivi jusqu’à la résolution des problèmes. Former et accompagner les utilisateurs dans l’utilisation des systèmes et outils informatiques. Identifier les causes profondes des incidents récurrents et mettre en place des actions préventives. Gérer le parc informatique. Contrôler des accès SI et conformité aux règles de sécurité Collaborer aux audits SI, aux révisions contractuelles et opérations de transition, aux dossiers de valorisations d'investissement, aux dossiers d'appel d'offres, au suivi des investissements à travers la collecte, la vérification et la préparation des éléments nécessaires à l’analyse et au contrôle prévus par les contrats de gestion déléguée | Profil recherché : Profil recherché : Formation et compétences requises : Diplôme d'Etat ou équivalent de ""Bac +2"" en Systèmes d'information / Informatique : infrastructures ou réseaux informatiques Expérience professionnelle de 2ans ou plus; Connaissances des normes de sécurité de l’information et des réglementations en vigueur. Maîtrise des normes et cadres de sécurité informatique (ISO 27001,…). Traits de personnalité souhaités : Capacités d’organisation et de rigueur. Capacité à s'adapter aux évolutions technologiques. Intégrité et respect de la confidentialité. Bonne capacités d'analyses. Aptitude à travailler en équipe et Disponibilité. Bonne communication orale et écrite.",Recherche de nouveauté | Respect des règles | Distance émotionnelle | Travail en équipe | Ambition | Besoin de réflexion | Implication au travail | Organisation,https://www.rekrute.com/offre-emploi-technicien-en-systemes-dinformation-recrutement-societe-de-developpement-des-services-publics-de-distribution-rabat-181916.html,N/A,2026-04-19T00:33:39.144225
rekrute,Cadre juridique | Rabat (Maroc),N/A (confidentiel),1 poste(s) - Maroc,CDI,Avocat / Juriste / Fiscaliste                                                                 - Secteur Juridique / Cabinet d’avocats								- Autres services,Junior (1 à 3 ans) - Intermédiaire (3 à 5 ans),Bac +5 et plus - Ecole de commerce - Master,N/A,"Entreprise : La SOCIETE DE DEVELOPPEMENT DES SERVICES PUBLICS DE DISTRIBUTION S.A. est une société de Développement Local, qui a pour missions de participer à la gestion et au développement des Services Publics de distribution, et cela à travers notamment, les prestations : D’accompagnement dans le domaine financier et de l'ingénierie financière, et dans la mobilisation et la gestion des financements ; De suivi et d'évaluation de la gestion et des indicateurs de performance inhérents aux Services Publics ; De gestion des dettes de financement liées à l’activité de distribution ; D’harmonisation des règles communes et process concernant la gestion des Services Publics. Notre société accompagne les acteurs du secteur de la distribution d’électricité, d’eau potable et d’assainissement liquide, notamment les GCT (Groupements de Collectivités Territoriales) et les SRM (les sociétés Régionales Multiservices) nouvellement mises en place. | Poste : Nous recherchons un profil de Cadre Juridique pour notre entité à Rabat Sa mission principale : Assurer le contrôle juridique et contractuel des distributeurs et le pilotage des audits de conformité et apporter une assistance juridique aux différentes entités concernés. Principales Attributions: Assurer une veille juridique, réglementaire permanente relative à la gestion déléguée et analyser les impacts des évolutions sur les contrats. Contrôler la conformité juridique des avenants, décisions unilatérales et clauses contractuelles au regard du cadre légal et réglementaire applicable. Vérifier le respect, par les distributeurs, des obligations légales, réglementaires et contractuelles applicables au service délégué. Vérifier le respect des procédures de servitude et d’expropriation, et la conformité des dossiers fonciers constitués par les distributeurs. Contrôler la conformité, la validité et l’adéquation des assurances et cautions souscrites par les distributeurs. Suivre la gestion des sinistres et réclamations de tiers et s’assurer de la bonne application des garanties de responsabilité."" Instruire les dossiers contentieux liés aux contrats de gestion déléguée et assurer le suivi des litiges en coordination avec les parties concernées. Rédiger les mises en demeure, avis juridiques, notes d’analyse et rapports de conformité. Apporter un appui et une expertise juridique aux entités du SPCR sur les questions d’interprétation et d’application du droit. Participer à la préparation et à la coordination des dossiers juridiques avec les distributeurs et les conseillers juridiques de l’Autorité Délégante. Suivre le plan annuel et pluriannuel des audits et tenir à jour un état consolidé des audits programmés, en cours et réalisés. Contrôler la mise en œuvre des recommandations issues des audits et assurer le suivi des plans d’actions correctives. Analyser les résultats des audits, identifier les risques récurrents et contribuer aux rapports périodiques du SPCR. Assurer le secrétariat du Comité de Suivi (préparation, organisation, rédaction des PV, suivi des décisions et archivage). Contribuer aux opérations de révision périodique des contrats en analysant la conformité juridique et en proposant les ajustements nécessaires. Piloter et coordonner les audits externes en lien avec les prestataires et les entités internes du SPCR. | Profil recherché : Profil recherché : Formation et compétences requises : Diplôme d'Etat de Bac +5 en droit privé idéalement en droit des affaires. Expérience professionnelle de 1 à 5 ans ; Avoir occupé un poste en tant que cadre juridique au sein d’une entreprise privé ou établissement public ; Une bonne connaissance des lois et réglementations régissant le secteur de la distribution d’eau /Electricité et Assainissement; Connaissance parfaite du droit social, du droit d’entreprise, du droit administratif et du droit foncier Maitrise des outils bureautiques classiques : Word, Excel, Power Point, Traits de personnalité souhaités : Capacités d’organisation et de rigueur. Esprit d’analyse et d’efficacité. Sens aigu de l'analyse et de la synthèse. Intégrité et Disponibilité. Capacité de gestion du stress Communication orale et écrite en arabe classique et en français",Respect des règles | Besoin d'objectivité | Distance émotionnelle | Besoin de réflexion | Travail en équipe | Implication au travail | Ambition | Organisation,https://www.rekrute.com/offre-emploi-cadre-juridique-recrutement-societe-de-developpement-des-services-publics-de-distribution-rabat-181915.html,N/A,2026-04-19T00:33:42.006362
rekrute,Cadre financier | Rabat (Maroc),N/A (confidentiel),1 poste(s) - Maroc,CDI,Audit / Conseil - Gestion / Comptabilité / Finance - Secteur Banque / Finance								- Comptabilité / Audit,Junior (1 à 3 ans) - Intermédiaire (3 à 5 ans),Bac +5 et plus - Ecole de commerce - Master,N/A,"Entreprise : La SOCIETE DE DEVELOPPEMENT DES SERVICES PUBLICS DE DISTRIBUTION S.A. est une société de Développement Local, qui a pour missions de participer à la gestion et au développement des Services Publics de distribution, et cela à travers notamment, les prestations : D’accompagnement dans le domaine financier et de l'ingénierie financière, et dans la mobilisation et la gestion des financements ; De suivi et d'évaluation de la gestion et des indicateurs de performance inhérents aux Services Publics ; De gestion des dettes de financement liées à l’activité de distribution ; D’harmonisation des règles communes et process concernant la gestion des Services Publics. Notre société accompagne les acteurs du secteur de la distribution d’électricité, d’eau potable et d’assainissement liquide, notamment les GCT (Groupements de Collectivités Territoriales) et les SRM (les sociétés Régionales Multiservices) nouvellement mises en place. | Poste : Nous recherchons un profil de Cadre Financier pour notre Entité à Rabat. Principales missions: Vérifier les recettes et dépenses et produire les indicateurs financiers journaliers pour piloter la situation financière Consolider les données, analyser la performance et veiller à l’équilibre économique des contrats"" Contrôler la conformité des dépenses Vérifier la cohérence, la justification et l’imputation correcte des charges sur les différents comptes Suivre les comptes spécifiques Réaliser les rapprochements comptables Comparer et fiabiliser les données entre les états SPCR et la comptabilité des distributeurs Suivre la conformité fiscale et procédurale Contrôler le respect des obligations fiscales et des règles de gestion financière Analyser les audits et rapports financiers Examiner les rapports annuels, audits et reportings Suivre les audits financiers Contribuer aux missions d’audit internes, externes et aux études confiées à des prestataires Suivre les données financières stratégiques Produire les éléments nécessaires aux rapports périodiques et aux révisions contractuelles Suivre la performance économique des contrats Analyser les indicateurs clés (charges, recettes, marges, écarts) et évaluer la rentabilité Mettre à jour les modèles financiers, simuler des scénarios et évaluer les impacts réglementaires Rédiger et/ou mettre à jour les rapports, comptes rendus d'activité et autres documents. | Profil recherché : Profil recherché : Diplôme d'Etat de Bac +5 ou équivalent en Finance/ Comptabilité/ Audit /Contrôle de gestion ; Expérience de 1 à 5 ans dans le domaine. Bonne connaissance des principes / règles comptables et fiscales publics et privés ; Maîtrise d’Excel avancé, ERP financiers. Bonne connaissance des principes / règles comptables et fiscales publics et privés. Bonne compréhension des états financiers, des bilans, et des flux de trésorerie. Traits de personnalité souhaités: Compétences communicationnelles (oral et écrit) Capacité relationnelle, esprit d'équipe, esprit d’analyse Ponctualité, assiduité et disponibilité Rigueur, organisation, planification et autonomie Respect des procédures et des règles.",Respect des règles | Besoin d'objectivité | Flexibilité | Besoin d'action | Travail en équipe | Implication au travail | Ambition | Organisation,https://www.rekrute.com/offre-emploi-cadre-financier-recrutement-societe-de-developpement-des-services-publics-de-distribution-rabat-181914.html,N/A,2026-04-19T00:33:44.593688
rekrute,Cadre financier Expérimenté | Rabat (Maroc),N/A (confidentiel),1 poste(s) - Maroc,CDI,Audit / Conseil - Gestion / Comptabilité / Finance - Secteur Banque / Finance								- Comptabilité / Audit,Confirmé (5 à 10 ans),Bac +5 et plus - Ecole de commerce - Master,N/A,"Entreprise : La SOCIETE DE DEVELOPPEMENT DES SERVICES PUBLICS DE DISTRIBUTION S.A. est une société de Développement Local, qui a pour missions de participer à la gestion et au développement des Services Publics de distribution, et cela à travers notamment, les prestations : D’accompagnement dans le domaine financier et de l'ingénierie financière, et dans la mobilisation et la gestion des financements ; De suivi et d'évaluation de la gestion et des indicateurs de performance inhérents aux Services Publics ; De gestion des dettes de financement liées à l’activité de distribution ; D’harmonisation des règles communes et process concernant la gestion des Services Publics. Notre société accompagne les acteurs du secteur de la distribution d’électricité, d’eau potable et d’assainissement liquide, notamment les GCT (Groupements de Collectivités Territoriales) et les SRM (les sociétés Régionales Multiservices) nouvellement mises en place. | Poste : Nous recherchons un profil de Cadre Financier Expérimenté pour notre Entité à Rabat. Sa mission principale est d'assurer la conformité comptable et financière des distributeurs et d'analyser l’équilibre économique des contrats de gestion. Principales Attributions: Assurer le suivi quotidien des flux financiers Produire et analyser le reporting financier Contrôler la conformité des dépenses Assurer le contrôle des comptes dédiés (redevances, retraites, frais d’études, placements, comptes spéciaux) Assurer la conformité fiscale et procédurale Analyser les audits et rapports financiers Contribuer aux missions d’audit internes, externes et aux études confiées à des prestataires assurer le suivi des données financières stratégiques Mettre à jour les modèles financiers, simuler des scénarios et évaluer les impacts réglementaires Assurer la traçabilité et la fiabilité des données Examiner et analyser le reporting des indicateurs de performance financiers et les indicateurs de gestion prévus par le Contrat de Gestion ; Mener des missions d’audit et de contrôle portant sur les aspects financiers ; Assurer la rédaction et/ou la mise à jour les rapports, comptes rendus d'activité et autres documents. | Profil recherché : Profil recherché : Diplôme d'Etat de Bac +5 ou équivalent en Finance/ Comptabilité/ Audit /Contrôle de gestion ; Expérience de 5 ans au minimum dans le domaine. Bonne Maîtrise d’Excel avancé, ERP financiers. Bonne connaissance des principes / règles comptables et fiscales publics et privés. Bonne compréhension des états financiers, des bilans, et des flux de trésorerie. Traits de personnalité souhaités: Compétences communicationnelles (oral et écrit) Capacité relationnelle, esprit d'équipe, esprit d’analyse Ponctualité, assiduité et disponibilité Rigueur, organisation, planification et autonomie Respect des procédures et des règles de sécurité",Respect des règles | Besoin d'objectivité | Rationalisme | Flexibilité | Besoin d'autonomie | Implication au travail | Ambition | Organisation,https://www.rekrute.com/offre-emploi-cadre-financier-experimente-recrutement-societe-de-developpement-des-services-publics-de-distribution-rabat-181913.html,N/A,2026-04-19T00:33:47.808473
rekrute,Responsable en Electricité | Rabat (Maroc),N/A (confidentiel),1 poste(s) - Maroc,CDI,Electricité - Gestion projet / Etudes / R&D - Secteur Conseil / Etudes								- Electricité,Confirmé (5 à 10 ans),Bac +5 et plus - Ecole d'ingénieur,N/A,"Entreprise : La SOCIETE DE DEVELOPPEMENT DES SERVICES PUBLICS DE DISTRIBUTION S.A. est une société de Développement Local, qui a pour missions de participer à la gestion et au développement des Services Publics de distribution, et cela à travers notamment, les prestations : D’accompagnement dans le domaine financier et de l'ingénierie financière, et dans la mobilisation et la gestion des financements ; De suivi et d'évaluation de la gestion et des indicateurs de performance inhérents aux Services Publics ; De gestion des dettes de financement liées à l’activité de distribution ; D’harmonisation des règles communes et process concernant la gestion des Services Publics. Notre société accompagne les acteurs du secteur de la distribution d’électricité, d’eau potable et d’assainissement liquide, notamment les GCT (Groupements de Collectivités Territoriales) et les SRM (les sociétés Régionales Multiservices) nouvellement mises en place. | Poste : Nous recherchons un profil "" Responsable en Electricité"" possédant une expérience de 5 ans et plus. Sa mission principale : Assurer le suivi et le contrôle des projets d’investissement du périmètre électricité, depuis la programmation jusqu’à la mise en service, en garantissant leur conformité contractuelle, réglementaire et financière, ainsi que la qualité d’exécution des travaux de branchement et de raccordement réalisés dans le cadre du service public de distribution. Principales attributions : Analyse des budgets d’investissement – Examen des budgets annuels et suivi de leur consommation avec analyse des écarts. Contrôle des appels d’offres – Vérification des dossiers techniques et des jugements avec recommandations. Suivi des projets d’investissement – Suivi de l’avancement physique des projets et traitement des écarts. Coordination avec les distributeurs – Animation des réunions pour le suivi des projets, budgets et actions correctives. Contrôle des valorisations et BPU – Analyse des dossiers de valorisation et vérification du bordereau des prix unitaires. Évaluation technique des projets – Analyse des études préalables et conformité aux normes techniques et réglementaires. Contrôle des travaux et conformité HSE – Vérification de l’exécution des travaux, sécurité, environnement et conformité réglementaire. Planification stratégique et études – Analyse des schémas directeurs, plans quinquennaux et identification des besoins futurs du réseau. Gestion des réclamations et reporting – Traitement des réclamations, contribution aux rapports techniques et suivi des indicateurs. Pilotage, coordination interne et traçabilité – Encadrement des équipes, coordination inter-cellules, suivi des tableaux de bord, reporting et archivage. | Profil recherché : Formation et compétences requises: Diplôme d’Ingénieur d’Etat (Bac+5) en Génie Electrique/ électrotechnique ou équivalent. Expérience significative (5 ans minimum) dans les domaines de distribution de l’électricité ou dans des activités connexes, notamment celles impliquant des ouvrages électriques. Bonne connaissance des outils et logiciels en relation avec le domaine d'Electricité. Maîtrise des normes et réglementations applicables à la distribution de l'électricité. Bonne connaissance des procédures d’adjudication et des règles de passation applicables des marchés. Bonne maitrise des techniques de conduite des projets. Traits de personnalité souhaités : Maturité managériale- Leadership, Autonomie et adaptation, rigueur, Sens de l’initiative et d’analyse, cohésion d’équipe, Aisance communicationnelle, dynamisme. Qualités relationnelles et rédactionnelles Haute disponibilité",Respect des règles | Besoin d'objectivité | Rationalisme | Besoin d'action | Besoin d'autonomie | Ambition | Organisation,https://www.rekrute.com/offre-emploi-responsable-en-electricite-recrutement-societe-de-developpement-des-services-publics-de-distribution-rabat-181912.html,N/A,2026-04-19T00:33:50.766053
rekrute,Responsable Maintenance des Engins | El Jadida (Maroc),Fort d’une expérience terrain de plus de 40 ans,Casablanca et région - Maroc,CDI,Production / Qualité / Sécurité / Maintenance                                                                 - Secteur Métallurgie / Sidérurgie,Confirmé (5 à 10 ans),Bac +5 et plus Minimum - Ecole d'ingénieur,N/A,"Entreprise : Fort d’une expérience terrain de plus de 40 ans , MESKI Invest est un groupe marocain multi-métiers ayant fait le choix stratégique de la diversification , en intervenant dans les secteurs clés de l’économie marocaine : • Riva Industrie : Industries sidérurgiques • Entreprises Belmekki : Distribution de matériaux de construction • Nadym : Logistique et services de transport routier, transport de marchandises et location camions remorques • Belmekkimmo : Immobilier • Danub : Location de voitures • Ontario : Transport touristique • Jawda Bois : Distribution de bois • Nouveaux métiers innovants en cours de développement dans le cadre du programme national d’accélération industrielle Créateur de valeurs dans plusieurs régions du Royaume, le Groupe a su confirmer au niveau national sa vocation d’ acteur de référence grâce à une expertise humaine et des technologies de pointe. Rejoindre le Groupe Meski Invest , c’est faire partie d’un groupe familial, visionnaire et audacieux qui continue d’entreprendre et d’investir. Tous ses bénéfices sont réinvestis dans le développement au service de cette politique de croissance. Le Groupe est en outre engagé dans le développement économique local et dans le développement durable , reposant sur le savoir-faire et l’implication de ses salariés . Nos collaborateurs, qui sont plus de 2 500 , font la force de notre Groupe. Pour leur offrir des perspectives de carrière intéressantes et attirer de nouveaux talents, nous travaillons continuellement à l’amélioration de nos techniques de management et proposons des opportunités de carrière et une formation continue , tout en veillant à la qualité de l’environnement de travail et à l'établissement de relations sociales professionnelles. | Poste : Rattaché au Directeur des Utilités & Engins, vous aurez en charge l’ensemble des activités de maintenance des engins roulants du site. À ce titre, vous aurez pour missions de : • Élaborer le plan de maintenance préventive et corrective du parc d’engins du site ; • Gérer les relations avec les constructeurs et les fournisseurs de pièces et d’outils de maintenance ; • Contrôler les interventions réalisées et proposer des améliorations de performance en termes de coûts et de taux d’utilisation ; • Gérer le budget de maintenance et d’exploitation des engins du site ; • Assurer la veille technologique et la gestion de la documentation technique ; • Favoriser l’implication et la participation des membres de votre équipe à l’accomplissement des objectifs de la direction ; • Veiller à ce qu’aucun dysfonctionnement ne perturbe l’outil de production ; • Appliquer les politiques, les programmes et les procédures d’entretien, ainsi que les règles de santé et sécurité, dans le respect de la réglementation en vigueur. | Profil recherché : • De formation Bac+5 (Ingénieur en Génie Mécanique), vous justifiez d'une expérience de 5 ans minimum dans une fonction similaire au sein de l’industrie lourde (aciérie, fonderie, cimenterie, etc.). • Vous disposez d’une parfaite maîtrise du fonctionnement des engins roulants. • Vous êtes familiarisé avec les outils de GMAO. • Vous maîtrisez les méthodes de résolution de problèmes et les outils d’amélioration continue (PDCA, 5S, SMED, AMDEC, etc.). • Vous êtes doté d’un réel leadership, d’un bon esprit d’équipe, d’un sens de l’organisation et de réelles capacités de communication.",Respect des règles | Besoin d'objectivité | Rationalisme | Ténacité | Organisation,https://www.rekrute.com/offre-emploi-responsable-maintenance-des-engins-recrutement-meski-invest---riva-industries-el-jadida-181911.html,N/A,2026-04-19T00:33:52.998143
rekrute,Chargé des Ressources Humaines H/F | Meknès (Maroc),N/A (confidentiel),Meknès et région - Maroc,CDI,RH / Personnel / Formation                                                                 - Secteur BTP / Génie Civil								-,Junior (1 à 3 ans),Bac +2 Minimum - Formation spécialisée - Licence,"Collecte, analyse, traitement des informations relatives à tous les salarié(e)s de l’entreprise (congés, absences, temps de travail, heures supplémentaires…) pour calculer la rémunération et établir les bulletins de paie","Entreprise : Dans le cadre de notre développement, nous cherchons un Chargé des Ressources Humaines pour notre filiale basée sur Meknès qui opère dans le secteur BTP . | Poste : Collecte, analyse, traitement des informations relatives à tous les salarié(e)s de l’entreprise (congés, absences, temps de travail, heures supplémentaires…) pour calculer la rémunération et établir les bulletins de paie Saisie et édition des feuilles de paie, dans le respect de la réglementation du travail, de la législation, et de la politique RH de l’entreprise Participation à l’élaboration des règles de paie (conventions collectives, accords d’entreprise…) Etablissement de l’ensemble des déclarations fiscales et sociales (CNSS,CIMR..) Gestion des formalités d’embauche et de départ des salarié(e)s (rédaction des contrats de travail, rupture, calcul des indemnités et solde de tout compte) Information, renseignement des salarié(e)s sur leur situation administrative Elaboration des documents de synthèse : tableaux de bord, masse salariale, entrées/sorties | Profil recherché : Ayant une formation de BAC+3 en RH avec une expérience de 2 ans minimum dans un poste similaire. Être organisé(e) et rigoureux(se) dans la gestion des données afin d’assurer la fiabilité des informations Gérer les priorités et le stress pour respecter les échéances de paie Avoir un sens relationnel pour adapter sa communication à des interlocuteur(trice)s différent(e)s (collègues, hiérarchiques, services connexes) Respecter les règles de confidentialité des informations Etablir les bulletins de paie dans le respect de la législation sociale Suivre tout le volet administratif de la gestion du personnel Mette en conformité légale et conventionnelle les bulletins Maîtriser les logiciels de paie",Recherche de nouveauté | Respect des règles | Extraversion | Distance émotionnelle | Besoin d'objectivité | Besoin d'autonomie | Implication au travail,https://www.rekrute.com/offre-emploi-charge-des-ressources-humaines-hf-recrutement-confidentiel-meknes-181910.html,N/A,2026-04-19T00:33:55.114970
rekrute,Responsable RH de proximité | Meknès (Maroc),N/A (confidentiel),Meknès et région - Maroc,CDI,RH / Personnel / Formation                                                                 - Secteur Indifférent								- Autres services,Intermédiaire (3 à 5 ans) - Confirmé (5 à 10 ans),Bac +3 Minimum - Formation spécialisée,N/A,"Entreprise : Groupe industriel et commercial d'envergure nationale, reconnu pour son expertise dans divers secteurs stratégiques, recherche à renforcer ses équipes dans le cadre de son développement continu. Fort d'une présence établie sur le marché marocain, le groupe se distingue par son engagement envers l'excellence, l'innovation et la durabilité. Nous offrons un environnement stimulant, propice à l'évolution professionnelle, au sein d'une structure valorisant la performance et la collaboration. | Poste : Au sein du département Ressources Humaines, votre principale mission est d’accompagner sur le terrain les managers et les collaborateurs, sur un périmètre qui vous sera défini pour les conseillers au mieux, leur expliquer et donner du sens aux décisions et processus RH tout en étant le garant de leur déploiement opérationnel. Le poste reporte fonctionnellement à la DRH. Missions : • Répondre aux demandes des opérationnels sur tous les sujets RH • Coordonner l’ensemble des activités liés au projet RH ; • Superviser la gestion du personnel • Assurer un reporting RH régulier et le remonter à la direction des ressources humaines ; • Déterminer et analyser les risques liés aux RH, • Veiller à l’application des procédures RH par les opérationnels conformément au système management de la qualité ; • Veiller à la mise en place des outils de suivi RH. • Expliciter et veiller à l’application par les opérationnels de l’ensemble des procédures RH ; • Mener les projets RH de l’entreprise conformément à la stratégie RH ; | Profil recherché : • Bac + 3 en gestion des ressources humaines ; • Une bonne maîtrise du code de travail ; • Une expérience probante dans un poste similaire et idéalement dans le secteur industriel • Autonome, rigoureux et force de proposition ; • Bon niveau de français à l’oral comme à l’écrit. • Anglais souhaité Compétences personnelles : • Vision élargie du service RH • Dynamisme • Aisance relationnelle, diplomatie • Professionnalisme • Écoute et disponibilité • Capacité d'adaptation • Curiosité intellectuelle • Capacité à proposer des solutions • Capacité à travailler en équipe",Extraversion | Besoin d'objectivité | Besoin d'autonomie | Implication au travail,https://www.rekrute.com/offre-emploi-responsable-rh-de-proximite-recrutement-confidentiel-meknes-181068.html,N/A,2026-04-19T00:33:57.448664
rekrute,Collaborateur Comptable / Assistant Comptable Confirmé (Offshore France) | Casablanca (Maroc),N/A (confidentiel),Casablanca et région - Maroc,CDD,Gestion / Comptabilité / Finance                                                                 - Secteur Comptabilité / Audit,Junior (1 à 3 ans),Bac +5 et plus Minimum - Licence - Master,N/A,"Entreprise : Nous sommes un cabinet d'audit, d’expertise comptable et de conseil , inscrit au tableau de l’Ordre des Experts Comptables du Maroc et membre du réseau Moore Stephens International. Notre activité s'articule principalement autour du contrôle légal des sociétés, des missions d'audit contractuel, de supervision comptable, de conseil juridique et fiscal. Nous intervenons également sur des missions à forte valeur ajoutée telles que l 'audit d'acquisition, le conseil financier et le conseil en organisation. | Poste : Opportunité – Collaborateur Comptable / Assistant Comptable Confirmé (Offshore France) Localisation :Casablanca Contrat : CDD – 6 mois Client : Cabinet / structure française en offshore Votre mission Dans le cadre d’une mission offshore pour un client français, vous intervenez en tant que collaborateur comptable et prenez en charge la tenue et la révision comptable de dossiers variés, dans un environnement digitalisé et structuré. Vos principales responsabilités Assurer la tenue de la comptabilité générale Réaliser les travaux de révision comptable Participer aux clôtures mensuelles et annuelles Contrôler et justifier les comptes (clients, fournisseurs, banques) Passer les écritures de régularisation Travailler sur des outils comptables digitalisés Collaborer avec les équipes basées en France et assurer un reporting régulier Outils utilisés Pennylane Tiime | Profil recherché : Profil recherché Formation Bac+2 / Bac+3 en comptabilité, finance ou gestion Expérience de 2 à 3 ans minimum en cabinet ou service comptable Maîtrise obligatoire de la révision comptable Bonne connaissance des cycles comptables (clients, fournisseurs, trésorerie) Maîtrise de Pennylane et Tiime fortement souhaitée Rigueur, autonomie et sens de l’organisation Ce que nous offrons Une expérience dans un environnement international (France offshore) Une mission formatrice avec des outils modernes Un cadre structuré et dynamique Une montée en compétences rapide en comptabilité digitale",Conventionnel | Respect des règles | Besoin d'objectivité | Rationalisme | Organisation,https://www.rekrute.com/offre-emploi-collaborateur-comptable-assistant-comptable-confirme-offshore-france-recrutement-moore-casablanca-casablanca-181909.html,N/A,2026-04-19T00:34:00.381756
rekrute,Responsable Méthodes (H/F) | Fkih Ben Salah (Maroc),REJOINDRE DANONE,Béni Mellal et région - Maroc,CDI,Méthodes / Process / Industrialisation                                                                 - Secteur Agroalimentaire								- Distribution,Confirmé (5 à 10 ans) - Expert (10 à 20 ans),Bac +5 et plus Minimum - Ecole d'ingénieur,N/A,"Entreprise : REJOINDRE DANONE : C’EST… Rencontrer des danoners aux personnalités singulières et aux parcours professionnels variés ; Grandir dans des environnements différents : sites de production, bases logistiques, centre de recherche et innovation ou encore sièges sociaux ; Se construire un parcours de carrière sur mesure, adapté à ta personnalité, tes compétences et tes envies ; Apprendre grâce à des missions responsabilisantes, riches et apprenantes. DANONE ENTREPRISE A MISSION En Juin 2020, Danone est devenue la première entreprise cotée à adopter le statut d’Entreprise à Mission. Nous avons en effet décidé de nous doter d'une raison d'être et d'objectifs sociaux, sociétaux et environnementaux associés inscrits dans nos statuts. Il s’agit d’une étape historique pour continuer à réaliser chaque jour notre mission – « apporter la santé par l’alimentation au plus grand nombre » - dans notre cadre d’action « One Planet. One Health ». | Poste : Centrale Danone est à la recherche de son nouvel Responsable Méthode basé à l'usine Fquih Ben Saleh . Vous seriez amené à : Assurer au quotidien l’encadrement des techniciens méthodes et des magasiniers pièces détachées : gestion du planning, animation de la performance SQCDME, relais de la communication usine, et réaliser les RDP. Garantir la fiabilité des équipements industriels. Garantir la non-rupture en pièces détachés. Optimiser les coûts de maintenance. Garantir la bonne exploitation de la GMAO. Assurer le bon fonctionnement de sa station d’épuration ainsi que son exploitation. Définir les axes d’évolution des organisations et les compétences attendues dans chaque poste. Identifier les besoins en formation de ses collaborateurs et valider les acquis post-formation. Contribuer aux recrutements et à la gestion de carrières de ses collaborateurs. Être garant de l’application des consignes de tri sélectif des déchets et les consignes en termes de qualité, d’hygiène, de sécurité des hommes (risques potentiels), des aliments, des équipements et d’environnement (déversement accidentel dans les réseaux eaux usées). | Profil recherché : Ingénieur confirmé Bac + 5 avec un minimum de 5 ans d’expérience --> (Forte compétence : Production/ Maintenance). Compétences métiers : Gestion des projets ; Assurer la sécurité des interventions ; Appliquer et faire appliquer les prescriptions techniques (normes et réglementations) ; Analyser les défaillances afin de proposer des améliorations ; Diriger et suivre les travaux d'entretien et de dépannage. Compétences managériales / comportementales : Leadership Adaptabilité Initiative Accomplissement Conceptualisation",Recherche de nouveauté | Respect des règles | Besoin de réflexion | Organisation,https://www.rekrute.com/offre-emploi-responsable-methodes-hf-recrutement-centrale-danone-fkih-ben-salah-181908.html,N/A,2026-04-19T00:34:03.323170
